comment,label
Sản phẩm này quá tuyệt vời!,1
Tôi rất thất vọng về chất lượng.,0
Giao hàng nhanh và đóng gói cẩn thận.,1
Không bao giờ mua lại lần nữa!,0
"Hài lòng với dịch vụ, sẽ ủng hộ tiếp.",1
"Sản phẩm lỗi, không hoạt động.",0
"Rất đáng tiền, cảm ơn shop.",1
Thái độ phục vụ quá tệ.,0
"Mọi thứ ổn, không có gì để chê.",1
"Tệ, hoàn toàn không giống mô tả.",0
Tôi đã nhận được hàng.,2
Sản phẩm giống như mô tả.,2
"Đang sử dụng, chưa có đánh giá.",2
"Chưa rõ chất lượng, cần thời gian thêm.",2
"Đóng gói bình thường, không quá đặc biệt.",2
